Gender,Married,Education,Self_Employed,Total_Income,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,1,1,0,4342.0,121.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,3158.0,100.0,360.0,0.0,N,1,0,0,0,0,0,1
1,1,1,0,5126.0,144.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,11376.0,184.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,0,0,0,5416.0,110.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,3600.0,80.0,360.0,1.0,N,1,0,0,0,0,0,1
0,0,1,0,3013.0,47.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,2400.0,75.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,6277.0,134.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,0,1,4695.0,96.0,360.0,1.0,Y,1,0,0,0,0,0,1
1,0,1,0,3410.0,88.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,5649.0,44.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,1,1,0,5821.0,144.0,360.0,1.0,Y,1,0,0,0,0,0,1
1,1,1,0,6085.0,120.0,360.0,0.0,N,1,0,0,0,0,0,1
1,0,1,0,6275.0,144.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,1,0,0,3572.0,100.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,0,1,0,3086.0,120.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,0,1,0,4230.0,112.0,360.0,1.0,N,1,0,0,0,0,1,0
0,1,1,0,4616.0,134.0,360.0,1.0,N,0,0,1,0,0,0,1
1,1,1,1,11500.0,286.0,360.0,0.0,N,0,1,0,0,0,0,1
0,1,1,0,3875.0,97.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,1,1,0,3723.0,96.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,5566.0,135.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,1,0,10330.0,180.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,1,0,0,6216.0,144.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,1,1,0,6296.0,120.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,3029.0,99.0,360.0,1.0,Y,0,0,0,1,0,0,1
0,1,0,1,6058.0,165.0,180.0,0.0,N,1,0,0,0,1,0,0
0,1,1,0,4945.0,134.8,360.0,0.0,N,0,1,0,0,1,0,0
1,0,1,0,4166.0,116.0,360.0,0.0,N,1,0,0,0,0,1,0
0,1,1,0,10321.0,258.0,360.0,1.0,N,1,0,0,0,0,1,0
0,0,0,0,5454.0,126.0,180.0,0.0,N,1,0,0,0,0,0,1
0,1,1,0,10750.0,312.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,1,0,1,7100.0,125.0,60.0,1.0,Y,0,0,0,1,0,0,1
1,0,1,0,4300.0,136.0,360.0,0.0,N,1,0,0,0,0,1,0
0,1,1,0,6274.0,172.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,0,1,3750.0,97.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,0,1,0,3500.0,81.0,300.0,1.0,Y,1,0,0,0,0,1,0
0,1,0,0,4755.0,95.0,360.0,0.0,N,0,0,0,1,0,1,0
0,1,1,1,7040.0,187.0,360.0,1.0,Y,0,0,0,1,0,1,0
0,0,1,0,3750.0,113.0,480.0,1.0,N,1,0,0,0,0,0,1
0,0,1,0,8500.0,176.0,360.0,1.0,N,1,0,0,0,0,0,1
0,1,1,1,4022.0,110.0,360.0,1.0,N,0,1,0,0,0,0,1
0,1,1,0,7167.0,180.0,300.0,0.0,N,0,0,0,1,0,1,0
0,1,0,1,5499.0,130.0,360.0,1.0,Y,0,0,0,1,0,1,0
1,0,1,0,3846.0,111.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,1,2395.0,121.0,360.0,1.0,Y,0,1,0,0,0,1,0
1,1,1,0,3259.0,167.0,360.0,1.0,N,0,0,1,0,0,0,1
0,1,1,0,8250.0,265.0,360.0,1.0,N,1,0,0,0,0,1,0
0,1,1,0,3988.0,50.0,240.0,1.0,Y,0,1,0,0,0,0,1
0,0,1,0,4897.0,136.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,0,0,5333.0,99.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,1,1,0,4618.0,104.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,8566.0,210.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,9862.0,175.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,5858.0,131.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,11904.0,188.0,180.0,1.0,Y,0,0,1,0,0,1,0
0,1,0,0,5093.0,81.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,0,1,0,4133.0,122.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,0,0,3620.0,25.0,120.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,6782.0,144.9688041594454,360.0,1.0,N,1,0,0,0,0,0,1
1,1,1,0,4786.0,137.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,2974.0,50.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,0,0,4188.0,115.0,180.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,5300.0,131.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,0,0,7551.0,133.0,180.0,1.0,Y,0,0,1,0,0,0,1
0,0,1,0,8649.0,151.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,13650.0,121.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,1,1,0,8235.0,121.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,4082.0,100.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,1,1,0,12543.0,225.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,0,0,0,7333.0,120.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,1,0,7400.0,216.0,360.0,0.0,N,0,0,1,0,0,0,1
0,1,0,0,2825.0,94.0,480.0,1.0,Y,0,0,0,1,0,1,0
0,0,1,0,5316.0,136.0,360.0,1.0,Y,1,0,0,0,0,0,1
1,1,1,0,5262.0,139.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,0,0,7686.0,152.0,360.0,0.0,N,1,0,0,0,1,0,0
1,0,1,1,7451.0,121.0,360.0,1.0,Y,0,1,0,0,0,1,0
0,0,1,0,5050.0,118.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,14583.0,185.0,180.0,1.0,Y,0,1,0,0,1,0,0
1,1,1,0,5450.0,154.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,3612.0,85.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,1,1,0,7710.0,175.0,360.0,1.0,N,1,0,0,0,1,0,0
1,0,1,0,10408.0,259.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,8334.0,180.0,360.0,1.0,Y,0,1,0,0,1,0,0
1,0,1,0,4166.0,44.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,0,1,0,11117.0,137.0,360.0,0.0,Y,1,0,0,0,0,1,0
0,1,1,0,2957.0,81.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,1,0,0,6314.0,194.0,360.0,1.0,Y,1,0,0,0,1,0,0
1,0,1,0,3692.0,93.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,0,1,0,5505.0,121.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,1,14363.0,160.0,180.0,0.0,N,0,1,0,0,0,0,1
0,1,1,0,8649.0,182.0,360.0,1.0,N,1,0,0,0,1,0,0
0,0,1,1,20166.0,650.0,480.0,1.0,Y,1,0,0,0,0,0,1
0,0,1,0,3943.0,74.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,0,1,0,2718.0,70.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,1,3459.0,25.0,120.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,4895.0,102.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,11750.0,290.0,360.0,1.0,N,0,0,0,1,0,1,0
1,1,1,0,4583.0,84.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,1,1,6816.0,88.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,0,1,0,14999.0,242.0,360.0,0.0,N,1,0,0,0,0,1,0
0,1,0,0,5630.0,129.0,360.0,1.0,N,0,0,1,0,1,0,0
0,1,1,0,7125.0,185.0,360.0,1.0,N,0,0,1,0,1,0,0
0,0,1,0,5417.0,168.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,0,1,1,6950.0,175.0,180.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,4732.0,122.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,11757.0,187.0,180.0,1.0,Y,0,0,1,0,0,0,1
1,1,1,0,6816.0,100.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,1,1,0,14866.0,70.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,1,1,0,2963.0,30.0,360.0,1.0,Y,0,1,0,0,0,0,1
1,0,1,0,11666.0,225.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,1,0,5690.0,125.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,6277.0,118.0,360.0,0.0,N,1,0,0,0,1,0,0
0,1,1,1,6327.0,152.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,0,1,0,9166.0,244.0,360.0,1.0,N,1,0,0,0,0,0,1
0,1,0,0,2281.0,113.0,360.0,1.0,N,0,0,1,0,1,0,0
0,0,1,0,3254.0,50.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,39999.0,600.0,180.0,0.0,Y,0,0,0,1,0,1,0
0,1,1,0,6000.0,160.0,360.0,1.0,Y,0,1,0,0,1,0,0
0,1,1,0,9538.0,187.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,0,1,0,5063.0,120.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,10208.0,255.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,0,0,2904.0,98.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,7933.0,275.0,360.0,1.0,N,1,0,0,0,0,0,1
0,1,1,0,4369.0,121.0,360.0,0.0,N,0,1,0,0,0,1,0
0,1,1,0,5614.0,158.0,360.0,1.0,Y,0,0,1,0,1,0,0
0,1,1,0,9323.0,75.0,180.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,6873.0,182.0,360.0,1.0,Y,1,0,0,0,1,0,0
1,1,1,0,4583.0,112.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,1,0,5772.0,129.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,0,1,0,2237.0,63.0,480.0,0.0,N,1,0,0,0,0,1,0
0,1,1,0,8000.0,200.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,1,0,0,3589.0,95.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,0,0,3522.0,81.0,180.0,1.0,N,0,0,0,1,1,0,0
0,1,1,0,11333.0,187.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,0,1,5080.0,87.0,360.0,1.0,N,1,0,0,0,0,1,0
0,1,1,0,5461.0,116.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,3664.0,101.0,360.0,1.0,Y,0,0,1,0,1,0,0
0,1,1,0,16816.0,495.0,360.0,0.0,N,0,0,0,1,0,1,0
0,1,1,0,3750.0,116.0,360.0,1.0,Y,0,1,0,0,0,1,0
0,0,0,0,3784.0,102.0,480.0,0.0,N,1,0,0,0,0,0,1
0,1,1,0,13650.0,180.0,360.0,0.0,N,0,1,0,0,0,0,1
0,0,1,0,6979.0,67.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,1,0,4600.0,73.0,180.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,33846.0,260.0,360.0,1.0,N,0,1,0,0,0,1,0
1,1,1,0,3625.0,108.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,1,43897.0,120.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,1,2178.0,66.0,300.0,0.0,N,0,1,0,0,1,0,0
0,1,1,0,4521.0,58.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,9328.0,188.0,180.0,1.0,Y,1,0,0,0,1,0,0
0,0,0,0,4885.0,48.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,0,1,0,12000.0,164.0,360.0,1.0,N,1,0,0,0,0,1,0
0,1,0,0,6033.0,160.0,360.0,1.0,N,1,0,0,0,0,0,1
0,0,1,0,3858.0,76.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,4191.0,120.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,5708.0,170.0,360.0,1.0,N,0,1,0,0,0,1,0
0,0,1,0,12083.0,187.0,360.0,1.0,Y,1,0,0,0,1,0,0
1,0,0,0,4272.0,120.0,360.0,1.0,Y,1,0,0,0,0,0,1
1,1,1,0,6232.0,113.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,1,11000.0,83.0,360.0,1.0,N,1,0,0,0,0,0,1
0,1,0,0,5100.0,90.0,360.0,1.0,Y,0,1,0,0,0,1,0
0,0,1,0,4923.0,166.0,360.0,0.0,Y,0,0,1,0,0,1,0
0,1,0,0,3992.0,121.0,180.0,1.0,N,0,0,0,1,0,0,1
0,1,0,0,4583.0,135.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,1,0,0,3917.0,124.0,360.0,1.0,Y,0,0,1,0,0,1,0
1,0,0,0,4408.0,120.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,0,1,0,3244.0,80.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,0,0,0,6506.0,55.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,0,1,0,2479.0,59.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,0,1,0,3418.0,127.0,360.0,1.0,N,1,0,0,0,0,1,0
1,0,1,0,10000.0,214.0,360.0,1.0,N,1,0,0,0,0,1,0
0,1,1,0,4680.0,128.0,360.0,0.0,N,0,0,0,1,0,1,0
0,1,1,1,7787.0,240.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,1,0,1,5703.0,130.0,360.0,1.0,Y,0,0,0,1,1,0,0
0,1,1,0,6194.0,137.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,0,0,4833.0,100.0,360.0,1.0,Y,0,0,0,1,0,1,0
0,1,1,0,1950.0,135.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,1,0,5502.0,131.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,5000.0,72.0,360.0,0.0,N,0,0,1,0,0,1,0
1,1,1,0,6666.0,127.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,1,1,0,2221.0,60.0,360.0,0.0,N,1,0,0,0,0,0,1
0,1,1,0,5726.0,116.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,0,1,0,5762.0,144.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,8588.0,175.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,6250.0,128.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,3250.0,170.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,0,1,4735.0,138.0,360.0,1.0,N,0,1,0,0,0,0,1
0,1,1,0,7945.0,210.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,0,1,1,6400.0,200.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,4545.0,104.0,360.0,1.0,Y,0,1,0,0,0,1,0
0,1,1,0,3716.0,42.0,180.0,1.0,Y,1,0,0,0,1,0,0
0,0,0,0,5787.0,120.0,360.0,1.0,Y,1,0,0,0,1,0,0
1,0,1,0,8333.0,280.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,4934.0,140.0,360.0,1.0,Y,0,1,0,0,0,1,0
0,1,1,0,6760.0,170.0,360.0,1.0,Y,0,1,0,0,1,0,0
0,1,1,0,5746.0,255.0,360.0,1.0,N,1,0,0,0,0,0,1
1,0,1,1,3463.0,122.0,360.0,1.0,Y,1,0,0,0,0,0,1
1,0,1,0,3812.0,112.0,360.0,1.0,Y,0,1,0,0,1,0,0
0,1,1,0,3315.0,96.0,360.0,1.0,Y,0,1,0,0,0,1,0
0,1,1,0,10819.0,120.0,360.0,1.0,Y,0,0,1,0,1,0,0
0,1,0,0,4493.0,140.0,180.0,1.0,N,0,1,0,0,0,0,1
0,0,1,0,8666.0,155.0,60.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,1,7550.0,108.0,360.0,1.0,Y,0,0,1,0,1,0,0
0,1,0,0,7823.0,123.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,1,10383.0,120.0,180.0,1.0,N,1,0,0,0,0,0,1
0,1,1,0,9703.0,112.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,1,0,0,6608.0,137.0,180.0,1.0,Y,0,1,0,0,0,0,1
0,1,1,0,4725.0,123.0,480.0,1.0,Y,0,1,0,0,0,1,0
0,1,1,0,3677.0,90.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,0,0,5558.0,201.0,360.0,0.0,N,1,0,0,0,0,1,0
1,0,1,0,3427.0,138.0,360.0,1.0,N,0,0,1,0,0,0,1
0,0,0,1,4750.0,104.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,0,0,9762.0,279.0,180.0,1.0,Y,0,1,0,0,0,1,0
0,0,1,1,16250.0,192.0,360.0,0.0,N,1,0,0,0,0,0,1
1,0,1,0,3083.0,255.0,360.0,1.0,Y,0,0,0,1,1,0,0
0,0,0,0,6045.0,115.0,360.0,0.0,N,1,0,0,0,1,0,0
0,1,1,0,5250.0,94.0,360.0,1.0,N,0,0,0,1,0,0,1
0,1,1,0,16783.0,304.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,0,0,4931.0,128.0,360.0,1.0,N,0,0,0,1,0,1,0
0,1,1,0,10333.0,330.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,0,1,0,4269.0,134.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,0,1,0,3481.0,155.0,36.0,1.0,N,0,1,0,0,0,1,0
1,0,1,0,7200.0,120.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,0,1,1,5166.0,128.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,7542.0,151.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,6095.0,150.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,1,1,0,6144.0,160.0,360.0,0.0,Y,0,0,0,1,0,0,1
1,0,1,0,3418.0,135.0,360.0,1.0,N,1,0,0,0,1,0,0
1,0,1,0,4436.0,90.0,360.0,1.0,Y,0,1,0,0,0,0,1
1,0,1,0,3237.0,30.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,11146.0,136.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,0,1,0,4690.0,126.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,4843.0,150.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,3900.0,90.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,1,1,0,4592.0,115.0,360.0,1.0,Y,0,1,0,0,0,1,0
0,1,1,0,7267.0,207.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,4403.0,80.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,14583.0,436.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,1,0,0,4100.0,124.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,0,0,1,6479.0,158.0,360.0,0.0,N,0,1,0,0,0,0,1
0,1,1,0,4727.0,112.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,3286.7999878,78.0,180.0,1.0,Y,0,0,1,0,0,0,1
1,0,1,0,3477.0,54.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,20667.0,121.0,360.0,1.0,N,1,0,0,0,1,0,0
0,0,1,0,6211.0,89.0,360.0,1.0,Y,1,0,0,0,1,0,0
1,0,1,1,4317.0,99.0,300.0,1.0,N,1,0,0,0,0,1,0
0,1,1,0,5704.0,120.0,360.0,1.0,Y,1,0,0,0,1,0,0
1,0,1,0,4124.0,115.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,9508.0,187.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,5491.0,139.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,4400.0,127.0,360.0,0.0,N,0,0,1,0,0,1,0
0,1,1,0,4713.0,134.0,360.0,1.0,Y,0,0,1,0,0,0,1
1,0,1,0,5417.0,143.0,480.0,0.0,N,1,0,0,0,0,0,1
0,1,1,0,5717.0,172.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,5666.0,110.0,360.0,1.0,Y,0,0,0,1,0,0,1
0,1,1,0,6875.0,200.0,360.0,1.0,Y,0,1,0,0,0,1,0
1,1,1,0,4666.0,135.0,360.0,1.0,Y,0,1,0,0,0,0,1
1,0,1,0,7541.0,151.0,480.0,1.0,N,1,0,0,0,1,0,0
0,1,1,0,4939.0,113.0,360.0,1.0,N,0,1,0,0,0,0,1
0,1,0,0,4734.0,93.0,360.0,0.0,N,1,0,0,0,0,0,1
0,1,0,0,4625.0,105.0,360.0,1.0,Y,0,1,0,0,0,1,0
1,0,1,0,5000.0,132.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,3428.0,96.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,0,1,0,6500.0,140.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,0,0,0,2000.0,121.0,360.0,1.0,N,1,0,0,0,0,0,1
1,0,1,0,5428.0,135.0,360.0,1.0,Y,1,0,0,0,1,0,0
1,0,1,0,4263.0,104.0,360.0,0.0,N,1,0,0,0,0,0,1
0,0,1,0,20233.0,480.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,0,0,7667.0,185.0,360.0,1.0,Y,0,0,1,0,1,0,0
1,0,1,0,2917.0,84.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,0,0,5332.0,111.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,0,1,0,2507.0,56.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,1,5746.0,144.0,84.0,1.0,Y,0,0,1,0,1,0,0
0,1,0,0,5039.0,111.0,180.0,1.0,Y,0,1,0,0,0,0,1
0,1,1,0,3717.0,120.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,1,1,0,4192.0,88.0,360.0,1.0,Y,1,0,0,0,0,0,1
1,0,1,0,3541.0,112.0,360.0,1.0,Y,0,1,0,0,0,1,0
0,1,1,1,10000.0,155.0,360.0,1.0,N,0,1,0,0,1,0,0
0,1,1,0,4567.0,115.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,4531.0,124.0,360.0,1.0,Y,0,0,0,1,0,1,0
0,1,0,0,5191.0,121.0,360.0,1.0,Y,0,0,1,0,1,0,0
1,0,1,0,6151.0,132.0,360.0,1.0,Y,1,0,0,0,1,0,0
0,1,1,0,15000.0,300.0,360.0,1.0,Y,0,0,0,1,1,0,0
0,1,1,1,13649.0,376.0,360.0,0.0,N,0,1,0,0,1,0,0
0,0,1,0,4917.0,130.0,360.0,0.0,Y,1,0,0,0,1,0,0
0,1,1,1,7978.0,184.0,360.0,1.0,Y,1,0,0,0,0,1,0
1,1,1,0,6784.0,110.0,360.0,1.0,N,1,0,0,0,0,0,1
1,0,1,0,2500.0,67.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,0,1,0,6177.0,117.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,0,1,0,2935.0,98.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,2833.0,71.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,63337.0,490.0,180.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,1,9993.0,70.0,360.0,1.0,Y,0,1,0,0,0,1,0
0,1,1,0,5938.0,160.0,360.0,1.0,Y,0,1,0,0,1,0,0
0,1,1,1,7100.0,176.0,360.0,1.0,Y,0,0,1,0,1,0,0
